Commentaires_des_clients,classification
,
What is the estimated delivery time for this product?,Delivery
Can I use it for anti aging purposes?,Usage instructions
Does it work for anti-aging?,Usage instructions
Do you deliver to my region?,Delivery
what is the best face wash to use with this product?,Compatible products for simultaneous use
What is the recommended application method for this product?,Method of use
Does this product lose effect under lights in room or from devices?,Method of use
How long is this product effective before it expires?,Expiration date
What should I do if I haven't received my order within the expected timeframe?,Delivery
Can I use this on open skin? I already popped a pimple.,Method of use
Hello! Can this be used with niacinamide 10%??,Compatible products for simultaneous use
Should I apply this product on wet or dry skin?,Method of use
Is there a recommended timeline for using this product before it expires?,Expiration date
Are there any potential risks or side effects associated with using this product after its expiration date?,Expiration date
Are there any specific instructions for applying the product to different areas of the body?,Method of use
Can you provide me with the tracking number for my order?,Delivery
Can it be used for anti aging purposes? Any success stories I should know about?,Usage instructions
Can I still use this product if it is past its expiration date?,Expiration date
How can I properly store this product to maximize its shelf life and prevent it from expiring prematurely?,Expiration date
How can I change the delivery address after placing my order?,Delivery
Can any of the anti-aging products be used in conjunction with this?,Compatible products for simultaneous use
What are the delivery charges for this product?,Delivery
Does this remove fordyce spots?,Usage instructions
Hello! Can this be used with niacinamide 10%??,Compatible products for simultaneous use
Are there any indicators or signs that the product has expired and should no longer be used?,Expiration date
I read this can help with ingrown facial hairs is that so?,Usage instructions
Can i use this for inner thigh blackheads?,Usage instructions
Are there any specific guidelines for using this product alongside prescription medications or treatments?,Compatible products for simultaneous use
Does the expiration date affect the product's efficacy or potency?,Expiration date
Do you offer any express delivery options?,Delivery
Are there any specific products that should be used together with this product?,Compatible products for simultaneous use
Is this good for stretch marks?,Usage instructions
What should I do if the package is damaged during delivery?,Delivery
Can I use this product in combination with other skincare products?,Compatible products for simultaneous use
Does it really work against blackheads?,Usage instructions
does this help with hyperpigmentation?,Usage instructions
Are there any recommended products that complement the effects of this product?,Compatible products for simultaneous use
Can this be used with salicylic acid (i use effaclar medicated cleanser and effaclar clarifying toner which have sa.)?,Compatible products for simultaneous use
Are there any ingredients or formulations that I should avoid when using this product?,Compatible products for simultaneous use
Do it work for stretch marks ?,Usage instructions
Does this product contain benzoyl peroxide?,Compatible products for simultaneous use
Is it safe to use this product if the expiration date has rubbed off or is no longer visible?,Expiration date
Can I use salicylic acid and this at the same time at night?,Compatible products for simultaneous use
Can I use this combined with products that contain Hyaluronic acid?,Compatible products for simultaneous use
Does this get rid of brown spots?,Usage instructions
Does anyone use this to help prevent wrinkles? My dermatologist prescribed it for this.,Usage instructions
Will this get rid of black heads and shrink pores?,Usage instructions
Can I use snail mucin with this product?,Compatible products for simultaneous use
Has anyone used this for antiaging? does it work?,Usage instructions
Can this help to lighten dark spots between tights?,Usage instructions
Are there any specific guidelines for using this product alongside prescription medications or treatments?,Compatible products for simultaneous use
Iâ€™m using the Effaclar gel but would like to try this as well. Some dermatologists recommend both. Is that ok?,Compatible products for simultaneous use
Does this work on pitted scars?,Usage instructions
Does it only make skin sensitive to sun while the product is on the skin? can i use it at night and wash out next morning? i don't use sunscreen daily,Method of use
Can I use this product with other brands or should I stick to products from the same line?,Compatible products for simultaneous use
Can I use this for dark spots?,Usage instructions
can this be used on other parts of the body? Perhaps the chest and shoulders?,Usage instructions
Are there any recommendations for adjusting the usage frequency or amount when using this product with other products?,Compatible products for simultaneous use
Are there any known interactions or conflicts between this product and other commonly used skincare products?,Compatible products for simultaneous use
Are there any specific instructions for applying the product to different areas of the body?,Method of use
Can I use snail mucin with this product?,Compatible products for simultaneous use
"I use this product everyday but I also use bha twice a week, is this okay if I use bha and this at a same day/time?",Compatible products for simultaneous use
Has anyone used this for antiaging? does it work?, Usage instructions
How long do you have to leave it on for before washing your face again?,Method of use
"Can it be used while using retinol, alternate nights?", Compatible products for simultaneous use
Can I choose a specific delivery date for my order?,Delivery
Should I leave the product on or rinse it off after application?,Method of use
Do we need to turn off lights in the room when using this product at night?,Method of use
Is it recommended to use this product once or multiple times a day?,Method of use
What is the shelf life of this product?,Expiration date
Are there any precautions or guidelines for handling the product during application?,Method of use
Does this work on pitted scars?,Usage instructions
Should I leave the product on or rinse it off after application?,Method of use
Can i use a led face mask if using this??,Compatible products for simultaneous use
Is there free shipping available for this product?,Delivery
Is there a specific order in which I should apply this product along with other skincare products?,Method of use